model,market_bin,n,mean_p_market,mean_p_model,mean_gap,home_win_rate
m05_joint_grw_baseline,"[0.00, 0.30)",111,0.23704390298528624,0.30223641039758325,0.06519250741229698,0.25225225225225223
m05_joint_grw_smile_spine_w020,"[0.00, 0.30)",111,0.23704390298528624,0.32104217157156684,0.08399826858628066,0.25225225225225223
m05_joint_grw_smile_spine_w040,"[0.00, 0.30)",111,0.23704390298528624,0.3113259318473599,0.0742820288620736,0.25225225225225223
m05_joint_grw_smile_supremacy_w020,"[0.00, 0.30)",111,0.23704390298528624,0.3210931623634355,0.08404925937814917,0.25225225225225223
m05_joint_grw_smile_supremacy_w040,"[0.00, 0.30)",111,0.23704390298528624,0.31049484994259696,0.07345094695731075,0.25225225225225223
m05_joint_grw_supremacy_w040,"[0.00, 0.30)",111,0.23704390298528624,0.29927660347680396,0.062232700491517655,0.25225225225225223
m05_joint_grw_baseline,"[0.30, 0.40)",148,0.3555873028597581,0.3768348359486614,0.021247533088903314,0.40540540540540543
m05_joint_grw_smile_spine_w020,"[0.30, 0.40)",148,0.3555873028597581,0.38815591213666645,0.03256860927690832,0.40540540540540543
m05_joint_grw_smile_spine_w040,"[0.30, 0.40)",148,0.3555873028597581,0.3850662619433619,0.02947895908360377,0.40540540540540543
m05_joint_grw_smile_supremacy_w020,"[0.30, 0.40)",148,0.3555873028597581,0.3893370105357764,0.03374970767601832,0.40540540540540543
m05_joint_grw_smile_supremacy_w040,"[0.30, 0.40)",148,0.3555873028597581,0.38589725519875634,0.030309952338998247,0.40540540540540543
m05_joint_grw_supremacy_w040,"[0.30, 0.40)",148,0.3555873028597581,0.38333566504695227,0.027748362187194113,0.40540540540540543
m05_joint_grw_baseline,"[0.40, 0.50)",178,0.44816207715645107,0.4305529890939574,-0.017609088062493616,0.4943820224719101
m05_joint_grw_smile_spine_w020,"[0.40, 0.50)",178,0.44816207715645107,0.42719527753325776,-0.020966799623193342,0.4943820224719101
m05_joint_grw_smile_spine_w040,"[0.40, 0.50)",178,0.44816207715645107,0.42947715618661514,-0.018684920969835903,0.4943820224719101
m05_joint_grw_smile_supremacy_w020,"[0.40, 0.50)",178,0.44816207715645107,0.428879946925069,-0.019282130231382078,0.4943820224719101
m05_joint_grw_smile_supremacy_w040,"[0.40, 0.50)",178,0.44816207715645107,0.4310409774497227,-0.017121099706728326,0.4943820224719101
m05_joint_grw_supremacy_w040,"[0.40, 0.50)",178,0.44816207715645107,0.43789074023973995,-0.010271336916711074,0.4943820224719101
m05_joint_grw_baseline,"[0.50, 0.60)",107,0.5388822298014357,0.48141191118081605,-0.05747031862061988,0.4953271028037383
m05_joint_grw_smile_spine_w020,"[0.50, 0.60)",107,0.5388822298014357,0.46749294363790056,-0.07138928616353533,0.4953271028037383
m05_joint_grw_smile_spine_w040,"[0.50, 0.60)",107,0.5388822298014357,0.47435667298890927,-0.06452555681252664,0.4953271028037383
m05_joint_grw_smile_supremacy_w020,"[0.50, 0.60)",107,0.5388822298014357,0.4696167652313765,-0.06926546457005928,0.4953271028037383
m05_joint_grw_smile_supremacy_w040,"[0.50, 0.60)",107,0.5388822298014357,0.47656467284984194,-0.06231755695159393,0.4953271028037383
m05_joint_grw_supremacy_w040,"[0.50, 0.60)",107,0.5388822298014357,0.4928278955532484,-0.04605433424818739,0.4953271028037383
m05_joint_grw_baseline,"[0.60, 1.00)",51,0.6752605573837043,0.554580466314354,-0.12068009106935026,0.5882352941176471
m05_joint_grw_smile_spine_w020,"[0.60, 1.00)",51,0.6752605573837043,0.5489720415607999,-0.1262885158229043,0.5882352941176471
m05_joint_grw_smile_spine_w040,"[0.60, 1.00)",51,0.6752605573837043,0.563938177081042,-0.11132238030266221,0.5882352941176471
m05_joint_grw_smile_supremacy_w020,"[0.60, 1.00)",51,0.6752605573837043,0.5521705928042407,-0.12308996457946353,0.5882352941176471
m05_joint_grw_smile_supremacy_w040,"[0.60, 1.00)",51,0.6752605573837043,0.568571640954157,-0.10668891642954721,0.5882352941176471
m05_joint_grw_supremacy_w040,"[0.60, 1.00)",51,0.6752605573837043,0.5822194723802688,-0.09304108500343539,0.5882352941176471
