model,fold,n_parameters,tape_instructions,allocated_bytes,gradient_ms,worst_density,worst_gradient
m01_poisson_time_decay,1,50,196,0,0.036948,2.9103830456733704e-11,1.210133934803862e-15
m01_poisson_time_decay,20,54,196,0,0.049973,2.2737367544323206e-13,1.322401243965259e-15
m01_poisson_time_decay,40,50,196,0,0.05039299999999999,1.4551915228366852e-11,1.3775931432598868e-15
m04_funnel_hierarchical_kappa,1,76,289,0,0.08820299999999999,2.3283064365386963e-10,7.529450796337552e-15
m04_funnel_hierarchical_kappa,20,82,289,0,0.125864,3.637978807091713e-12,1.1205040463497491e-14
m04_funnel_hierarchical_kappa,40,76,289,0,0.12238700000000001,4.656612873077393e-10,9.425217470195179e-15
m02_joint_gamma_poisson,1,52,252,0,0.089596,4.656612873077393e-10,7.524845120156959e-15
m02_joint_gamma_poisson,20,56,252,0,0.125032,0.0,1.0985506261431161e-14
m02_joint_gamma_poisson,40,52,252,0,0.12601400000000001,4.656612873077393e-10,9.387428563191189e-15
m03_funnel_shared_kappa,1,52,252,0,0.089476,4.656612873077393e-10,7.524845120156959e-15
m03_funnel_shared_kappa,20,56,252,0,0.12924,0.0,1.0985506261431161e-14
m03_funnel_shared_kappa,40,52,252,0,0.12714599999999998,4.656612873077393e-10,9.387428563191189e-15
